id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43829022,With 2 bed rooms w/pool view in luxury Suites,100127103,Tutkun,,Umraniye,41.00249,29.13069,Private room,1100,1,0,,,9,350,0,
43832307,peaceful place at heart of the Beşiktaş,345539493,Yusuf,,Besiktas,41.04469,29.00195,Entire home/apt,350,1,0,,,1,278,0,
43835167,king suite 200 m to taksim square (2),349387708,Volkan,,Beyoglu,41.03576,28.98274,Private room,350,1,0,,,7,365,0,
43836965,İstanbul zincirlikuyu çok  merkezi 100m2 daire,40004508,Reyhan,,Sisli,41.07103,29.01496,Entire home/apt,1500,30,1,2021-03-13,0.15,1,362,1,
43838248,Newly Restored Historical Building in Central,206624298,Firez,,Sisli,41.04871,28.98693,Entire home/apt,459,3,0,,,20,365,0,
43839160,"Sea View Apartment, Fully Furnished,With GoodPrice",350633280,Abdulrahman,,Pendik,40.88035,29.21941,Entire home/apt,1335,3,0,,,1,365,0,
43841263,ÖĞRENCİ / ÇALIŞANA KİRALIK LÜKS BUTİK OTEL ODASI,350647072,Corinne,,Beyoglu,41.0338,28.98006,Private room,400,1,0,,,1,365,0,
43842784,Burgazadasinda sirin studyo daire,91865396,Sevgi,,Adalar,40.88071,29.0664,Entire home/apt,500,7,0,,,2,362,0,
43844062,Stylish Duplex House with a Special Terrace,229986521,Vefa,,Beyoglu,41.03308,28.97926,Entire home/apt,606,4,42,2021-08-08,3.12,5,163,34,
43846840,Studio Kitchen and Balcony apartment,337003134,Sultan,,Beyoglu,41.03797,28.98011,Entire home/apt,231,1,29,2020-12-01,1.93,14,279,22,
43847117,**HİJYEN SERTİFİKALI**  Maslak'ta teraslı lux 3+1,220972,Barış,,Sisli,41.1155,29.01304,Entire home/apt,4015,1,0,,,28,365,0,
43847127,*HİJYEN SERTİFİKALI* 1+1 MASLAK LUX RESIDENCE,220972,Barış,,Sisli,41.11641,29.01434,Entire home/apt,1216,1,2,2020-10-01,0.14,28,365,1,
43847142,**HİJYEN SERTİFİKALI** MASLAK'ta STUDYO DAİRE1+0,220972,Barış,,Sisli,41.1168,29.01389,Entire home/apt,1216,1,5,2020-09-10,0.42,28,365,4,
43847146,**HİJYEN SERTİFİKALI** Maslak'ta lux 1+1 teraslı,220972,Barış,,Sisli,41.11572,29.01356,Entire home/apt,1216,1,6,2021-08-02,0.51,28,365,4,
